number,answer
1,A
2,C
3,B
4,A
5,A
6,B
7,D
8,B
9,B
10,C
11,B
12,A
13,B
14,B
15,B
16,C
17,C
18,D
19,A
20,B
21,C
22,B
23,D
24,C
25,D
26,C
27,C
28,C
29,C
30,D
31,C
32,C
33,D
34,C
35,A
36,B
37,A
38,C
39,B
40,D
41,B
42,B
43,C
44,A
45,A
46,B
47,C
48,C
49,C
50,B
51,B
52,B
53,A
54,A
55,A
56,B
57,C
58,A
59,C
60,A
61,B
62,D
63,B
64,C
65,B
66,A
67,D
68,B
69,D
70,B
71,C
72,B
73,B
74,D
75,A
76,D
77,B
78,B
79,A
80,C
81,D
82,A
83,B
84,A
85,A
86,C
87,B
88,C
89,B
90,A
91,A
92,A
93,B
94,A
95,A
96,B
97,B
98,D
99,A
100,C
101,C
102,D
103,D
104,A
105,D
106,B
107,C
108,D
109,C
110,D
111,D
112,B
113,A
114,A
115,D
116,C
117,C
118,B
119,B
120,A
