number,answer
1,A
2,C
3,A
4,D
5,B
6,C
7,C
8,A
9,A
10,D
11,B
12,D
13,D
14,C
15,C
16,B
17,B
18,C
19,C
20,B
21,A
22,C
23,C
24,D
25,B
26,D
27,C
28,D
29,B
30,C
31,B
32,A
33,C
34,D
35,D
36,C
37,D
38,D
39,C
40,D
41,D
42,A
43,D
44,A
45,A
46,B
47,C
48,C
49,B
50,A
51,A
52,C
53,A
54,A
55,A
56,B
57,B
58,D
59,B
60,C
61,C
62,B
63,D
64,A
65,D
66,B
67,D
68,C
69,A
70,D
71,D
72,D
73,A
74,B
75,C
76,D
77,D
78,D
79,D
80,D
81,D
82,D
83,D
84,D
85,D
86,B
87,C
88,B
89,A
90,B
91,B
92,B
93,D
94,B
95,D
96,B
97,B
98,D
99,D
100,A
101,B
102,D
103,A
104,A
105,B
106,B
107,A
108,B
109,A
110,C
111,B
112,B
113,D
114,B
115,B
116,A
117,B
118,B
119,B
120,B
