number,answer
1,D
2,B
3,C
4,A
5,C
6,A
7,C
8,B
9,C
10,A
11,D
12,A
13,B
14,D
15,A
16,C
17,B
18,C
19,A
20,B
21,B
22,B
23,D
24,D
25,D
26,D
27,D
28,A
29,C
30,A
31,B
32,C
33,B
34,D
35,A
36,B
37,D
38,B
39,C
40,A
41,B
42,B
43,A
44,A
45,C
46,B
47,C
48,D
49,A
50,D
51,B
52,B
53,D
54,C
55,C
56,C
57,A
58,B
59,B
60,A
61,D
62,B
63,A
64,D
65,D
66,B
67,B
68,C
69,A
70,C
71,A
72,D
73,D
74,A
75,B
76,C
77,D
78,A
79,B
80,A
81,C
82,D
83,D
84,D
85,B
86,C
87,A
88,D
89,B
90,B
91,B
92,D
93,B
94,D
95,A
96,C
97,C
98,B
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,B
108,C
109,B
110,D
111,A
112,B
113,A
114,A
115,C
116,B
117,D
118,D
119,D
120,C
