number,answer
1,C
2,A
3,A
4,C
5,B
6,C
7,C
8,B
9,A
10,C
11,B
12,C
13,D
14,C
15,C
16,B
17,B
18,C
19,C
20,B
21,A
22,D
23,C
24,B
25,B
26,B
27,A
28,D
29,B
30,C
31,B
32,A
33,C
34,C
35,C
36,B
37,D
38,B
39,C
40,D
41,D
42,A
43,C
44,A
45,A
46,A
47,C
48,C
49,B
50,C
51,C
52,D
53,B
54,A
55,D
56,B
57,C
58,D
59,C
60,C
61,A
62,C
63,D
64,A
65,B
66,C
67,C
68,C
69,A
70,D
71,C
72,D
73,A
74,B
75,C
76,D
77,A
78,B
79,D
80,C
81,D
82,C
83,D
84,B
85,A
86,C
87,C
88,B
89,A
90,B
91,B
92,B
93,D
94,A
95,D
96,B
97,D
98,D
99,D
100,A
101,B
102,D
103,A
104,B
105,A
106,B
107,C
108,B
109,A
110,C
111,D
112,C
113,B
114,B
115,A
116,A
117,D
118,C
119,B
120,C
