number,answer
1,A
2,D
3,B
4,A
5,B
6,B
7,D
8,B
9,B
10,C
11,B
12,A
13,B
14,C
15,B
16,A
17,C
18,D
19,A
20,B
21,C
22,C
23,D
24,B
25,C
26,C
27,C
28,D
29,C
30,D
31,C
32,C
33,D
34,A
35,A
36,A
37,A
38,C
39,B
40,D
41,B
42,D
43,C
44,D
45,B
46,D
47,C
48,C
49,C
50,D
51,C
52,B
53,B
54,D
55,C
56,B
57,C
58,A
59,C
60,A
61,C
62,D
63,B
64,B
65,B
66,C
67,D
68,B
69,D
70,C
71,C
72,B
73,A
74,B
75,D
76,B
77,B
78,C
79,D
80,C
81,D
82,A
83,B
84,B
85,A
86,C
87,B
88,C
89,B
90,A
91,A
92,A
93,A
94,A
95,A
96,B
97,B
98,D
99,B
100,C
101,C
102,D
103,D
104,B
105,D
106,B
107,D
108,D
109,C
110,D
111,A
112,B
113,A
114,A
115,D
116,C
117,C
118,B
119,B
120,A
