number,answer
1,D
2,A
3,A
4,D
5,B
6,A
7,A
8,C
9,C
10,C
11,A
12,C
13,B
14,C
15,A
16,D
17,A
18,D
19,C
20,B
21,B
22,C
23,B
24,D
25,C
26,A
27,A
28,D
29,C
30,D
31,A
32,D
33,A
34,D
35,D
36,A
37,A
38,A
39,B
40,A
41,B
42,D
43,A
44,A
45,D
46,B
47,A
48,D
49,C
50,D
51,B
52,A
53,B
54,A
55,B
56,A
57,A
58,C
59,A
60,A
61,A
62,A
63,A
64,A
65,A
66,C
67,D
68,A
69,C
70,A
71,C
72,B
73,A
74,ERROR
75,D
76,B
77,B
78,C
79,A
80,A
81,B
82,A
83,A
84,B
85,B
86,C
87,C
88,B
89,ERROR
90,B
91,D
92,B
93,B
94,D
95,D
96,A
97,D
98,B
99,B
100,A
101,A
102,A
103,A
104,B
105,C
106,B
107,C
108,C
109,D
110,D
111,A
112,C
113,A
114,C
115,D
116,A
117,D
118,D
119,D
120,B
