number,answer
1,B
2,A
3,D
4,D
5,A
6,C
7,D
8,B
9,B
10,C
11,B
12,A
13,B
14,C
15,B
16,A
17,C
18,D
19,A
20,B
21,A
22,B
23,D
24,D
25,D
26,C
27,D
28,D
29,C
30,D
31,C
32,C
33,D
34,C
35,A
36,C
37,A
38,C
39,B
40,D
41,C
42,D
43,C
44,A
45,C
46,A
47,A
48,A
49,C
50,D
51,B
52,A
53,B
54,A
55,A
56,A
57,B
58,A
59,C
60,D
61,B
62,C
63,B
64,C
65,B
66,A
67,C
68,B
69,B
70,D
71,C
72,B
73,A
74,B
75,D
76,D
77,B
78,B
79,A
80,C
81,D
82,A
83,B
84,A
85,A
86,C
87,B
88,C
89,C
90,A
91,A
92,A
93,D
94,A
95,A
96,B
97,B
98,D
99,B
100,C
101,C
102,D
103,D
104,B
105,D
106,B
107,C
108,D
109,C
110,D
111,A
112,B
113,A
114,A
115,A
116,C
117,C
118,B
119,B
120,A
