number,answer
1,A
2,B
3,A
4,A
5,A
6,C
7,C
8,B
9,A
10,D
11,B
12,A
13,D
14,C
15,C
16,B
17,B
18,C
19,C
20,B
21,A
22,D
23,C
24,C
25,B
26,D
27,A
28,D
29,B
30,C
31,B
32,A
33,C
34,B
35,D
36,C
37,A
38,D
39,C
40,D
41,D
42,A
43,C
44,A
45,C
46,A
47,A
48,C
49,B
50,A
51,C
52,A
53,A
54,A
55,A
56,A
57,A
58,D
59,B
60,D
61,A
62,C
63,D
64,A
65,D
66,D
67,D
68,D
69,B
70,D
71,A
72,D
73,A
74,C
75,D
76,ERROR
77,A
78,B
79,C
80,A
81,D
82,C
83,D
84,D
85,A
86,D
87,D
88,B
89,A
90,B
91,B
92,B
93,B
94,D
95,D
96,B
97,B
98,D
99,D
100,A
101,B
102,D
103,A
104,B
105,A
106,B
107,A
108,B
109,A
110,C
111,B
112,C
113,C
114,ERROR
115,A
116,A
117,D
118,D
119,B
120,C
