number,answer
1,A
2,B
3,A
4,D
5,B
6,D
7,D
8,D
9,B
10,A
11,A
12,C
13,B
14,B
15,A
16,D
17,A
18,B
19,C
20,B
21,B
22,B
23,B
24,D
25,C
26,C
27,A
28,C
29,A
30,C
31,A
32,B
33,C
34,C
35,D
36,A
37,A
38,A
39,B
40,C
41,B
42,B
43,C
44,A
45,A
46,B
47,B
48,B
49,A
50,B
51,B
52,A
53,C
54,A
55,C
56,C
57,A
58,C
59,A
60,A
61,B
62,A
63,B
64,B
65,B
66,B
67,D
68,C
69,B
70,C
71,C
72,A
73,C
74,D
75,D
76,C
77,B
78,C
79,A
80,C
81,A
82,A
83,B
84,B
85,C
86,B
87,B
88,B
89,A
90,A
91,B
92,C
93,B
94,D
95,D
96,D
97,D
98,B
99,B
100,A
101,B
102,A
103,A
104,B
105,C
106,B
107,C
108,C
109,C
110,B
111,C
112,C
113,C
114,C
115,C
116,B
117,C
118,B
119,D
120,B
