number,answer
1,D
2,C
3,D
4,A
5,A
6,A
7,D
8,D
9,D
10,D
11,C
12,A
13,B
14,D
15,A
16,C
17,A
18,C
19,A
20,D
21,A
22,B
23,D
24,C
25,C
26,A
27,D
28,C
29,A
30,A
31,B
32,C
33,B
34,D
35,A
36,B
37,C
38,B
39,C
40,A
41,B
42,C
43,A
44,D
45,C
46,A
47,A
48,C
49,B
50,D
51,D
52,A
53,D
54,B
55,D
56,C
57,A
58,B
59,D
60,A
61,D
62,B
63,A
64,D
65,A
66,B
67,B
68,C
69,A
70,B
71,D
72,D
73,D
74,A
75,B
76,C
77,C
78,C
79,B
80,A
81,C
82,B
83,D
84,D
85,B
86,B
87,C
88,D
89,B
90,B
91,B
92,D
93,B
94,D
95,A
96,C
97,C
98,A
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,D
108,C
109,A
110,A
111,B
112,A
113,D
114,A
115,D
116,A
117,D
118,A
119,D
120,C
